name,size,percent_used,index_scans,seq_scans,unused
public.service_catalog_pkey,16 kB,0%,0,0,t
public.profiles_pkey,16 kB,100%,68,0,f
public.idx_profiles_email,16 kB,0%,0,0,t
public.idx_profiles_role,16 kB,100%,5,0,f
public.customers_email_key,16 kB,0%,0,0,t
public.idx_customers_email,16 kB,0%,0,0,t
public.service_catalog_service_type_key,16 kB,100%,12,0,f
public.customers_pkey,16 kB,100%,1,0,f
public.idx_bookings_status,8192 bytes,0%,0,0,t
public.bookings_booking_id_key,8192 bytes,0%,0,0,t
public.requests_request_id_key,8192 bytes,0%,0,0,t
public.idx_repairs_technician,8192 bytes,100%,4,0,f
public.idx_repair_timeline_created_at,8192 bytes,0%,0,0,t
public.email_notifications_pkey,8192 bytes,0%,0,0,t
public.idx_bookings_date,8192 bytes,0%,0,0,t
public.requests_pkey,8192 bytes,0%,0,0,t
public.idx_email_notifications_status,8192 bytes,0%,0,0,t
public.idx_repairs_created_at,8192 bytes,0%,0,0,t
public.idx_repairs_request_id,8192 bytes,0%,0,0,t
public.idx_requests_source_page,8192 bytes,0%,0,0,t
public.idx_requests_created_at,8192 bytes,0%,0,0,t
public.idx_repairs_priority,8192 bytes,0%,0,0,t
public.reviews_user_idx,8192 bytes,100%,3,0,f
public.repairs_public_code_key,8192 bytes,0%,0,0,t
public.idx_email_notifications_type,8192 bytes,0%,0,0,t
public.idx_bookings_booking_id,8192 bytes,0%,0,0,t
public.idx_repairs_public_code,8192 bytes,0%,0,0,t
public.idx_requests_status,8192 bytes,0%,0,0,t
public.bookings_pkey,8192 bytes,0%,0,0,t
public.idx_email_notifications_created_at,8192 bytes,0%,0,0,t
public.repairs_pkey,8192 bytes,0%,0,0,t
public.idx_bookings_created_at,8192 bytes,0%,0,0,t
public.idx_repair_timeline_repair_id,8192 bytes,0%,0,0,t
public.idx_notifications_notification_id,8192 bytes,0%,0,0,t
public.repairs_secret_token_key,8192 bytes,0%,0,0,t
public.idx_notifications_created_at,8192 bytes,0%,0,0,t
public.repairs_repair_id_key,8192 bytes,0%,0,0,t
public.reviews_approved_created_idx,8192 bytes,100%,14,0,f
public.idx_notifications_recipient_email,8192 bytes,0%,0,0,t
public.idx_requests_priority,8192 bytes,0%,0,0,t
public.idx_requests_request_id,8192 bytes,0%,0,0,t
public.idx_bookings_request_id,8192 bytes,0%,0,0,t
public.idx_requests_customer_email,8192 bytes,0%,0,0,t
public.notifications_pkey,8192 bytes,100%,6,0,f
public.notifications_notification_id_key,8192 bytes,0%,0,0,t
public.idx_repairs_repair_id,8192 bytes,0%,0,0,t
public.idx_repairs_status,8192 bytes,0%,0,0,t
public.idx_requests_type_status,8192 bytes,0%,0,0,t
public.idx_email_notifications_recipient,8192 bytes,0%,0,0,t
public.idx_notifications_type,8192 bytes,0%,0,0,t
public.reviews_pkey,8192 bytes,100%,2,0,f
public.repair_timeline_pkey,8192 bytes,0%,0,0,t
public.idx_repairs_secret_token,8192 bytes,0%,0,0,t
public.idx_notifications_status,8192 bytes,0%,0,0,t
public.idx_requests_type,8192 bytes,0%,0,0,t
public.idx_requests_status_created,8192 bytes,0%,0,0,t
