schemaname,table_name,blocks_read,write_tuples,blocks_write,activity_ratio
auth,users,10,42,-0,Read-Only
auth,identities,7,9,-0,Read-Only
auth,refresh_tokens,7,10,-0,Read-Only
auth,sessions,5,10,-0,Read-Only
auth,schema_migrations,3,62,0.898550724637681,0.3:1 (Write-Heavy)
public,profiles,3,8,-0,Read-Only
public,customers,3,4,-0,Read-Only
storage,migrations,2,49,-0,Read-Only
realtime,schema_migrations,1,65,1,1.0:1 (Write-Heavy)
auth,one_time_tokens,2,6,-0,Read-Only
public,service_catalog,2,12,-0,Read-Only
auth,mfa_amr_claims,2,10,-0,Read-Only
supabase_functions,migrations,1,2,-0,Read-Only
